election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,417,55.53,NA,NA,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,223,29.69,NA,NA,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,54,7.19,NA,NA,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,31,4.13,NA,NA,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,3,0.4,NA,NA,NA,NA
AUT25,2025-10-12,010129,Aguada de Baixo,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,1,0.13,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,2881,55.2,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,1324,25.37,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,386,7.4,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,376,7.2,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,60,1.15,NA,NA,NA,NA
AUT25,2025-10-12,010130,Águeda,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,31,0.59,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,501,54.75,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,181,19.78,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,108,11.8,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,79,8.63,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,7,0.77,NA,NA,NA,NA
AUT25,2025-10-12,010131,Barrô,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,3,0.33,NA,NA,NA,NA
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,235,62.5,NA,NA,NA,NA
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,88,23.4,NA,NA,NA,NA
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,24,6.38,NA,NA,NA,NA
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,18,4.79,NA,NA,NA,NA
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,3,0.8,NA,NA,NA,NA
