election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,020703,Vila Alva,Freguesia,CM,311,251,80.71,19.290000000000006,5,1.99,2,0.8,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020704,Vila Ruiva,Freguesia,CM,340,271,79.71,20.290000000000006,6,2.21,2,0.74,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020803,Figueira dos Cavaleiros,Freguesia,CM,990,766,77.37,22.629999999999995,7,0.91,6,0.78,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020804,Odivelas,Freguesia,CM,378,269,71.16,28.840000000000003,10,3.72,5,1.86,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020809,Alfundão,Freguesia,CM,700,465,66.43,33.56999999999999,4,0.86,3,0.65,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020810,Canhestros,Freguesia,CM,333,235,70.57,29.430000000000007,2,0.85,1,0.43,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020811,Ferreira do Alentejo,Freguesia,CM,3480,2245,64.51,35.489999999999995,26,1.16,21,0.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020812,Peroguarda,Freguesia,CM,254,197,77.56,22.439999999999998,1,0.51,3,1.52,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020901,Alcaria Ruiva,Freguesia,CM,574,411,71.6,28.400000000000006,11,2.68,4,0.97,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020902,Corte do Pinto,Freguesia,CM,690,465,67.39,32.61,8,1.72,6,1.29,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020903,Espírito Santo,Freguesia,CM,286,217,75.87,24.129999999999995,3,1.38,6,2.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020904,Mértola,Freguesia,CM,2167,1575,72.68,27.319999999999993,38,2.41,23,1.46,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020905,Santana de Cambas,Freguesia,CM,632,425,67.25,32.75,7,1.65,7,1.65,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020906,São João dos Caldeireiros,Freguesia,CM,432,327,75.69,24.310000000000002,1,0.31,5,1.53,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020910,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",Freguesia,CM,721,517,71.71,28.290000000000006,11,2.13,5,0.97,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021001,Amareleja,Freguesia,CM,1902,1227,64.51,35.489999999999995,24,1.96,17,1.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021002,Póvoa de São Miguel,Freguesia,CM,658,433,65.81,34.19,5,1.15,9,2.08,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021008,Sobral da Adiça,Freguesia,CM,743,521,70.12,29.879999999999995,6,1.15,9,1.73,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021009,Santo Agostinho e São João Baptista e Santo Amador,Freguesia,CM,7137,4127,57.83,42.17,57,1.38,33,0.8,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021011,Safara,Freguesia,CM,782,486,62.15,37.85,9,1.85,10,2.06,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021012,Santo Aleixo da Restauração,Freguesia,CM,561,431,76.83,23.17,3,0.7,4,0.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021102,Relíquias,Freguesia,CM,735,517,70.34,29.659999999999997,7,1.35,5,0.97,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021103,Sabóia,Freguesia,CM,761,466,61.24,38.76,13,2.79,9,1.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021106,São Luís,Freguesia,CM,1626,1074,66.05,33.95,7,0.65,12,1.12,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021107,São Martinho das Amoreiras,Freguesia,CM,738,476,64.5,35.5,6,1.26,9,1.89,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021111,Vila Nova de Milfontes,Freguesia,CM,4488,2532,56.42,43.58,46,1.82,34,1.34,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021115,Luzianes-Gare,Freguesia,CM,338,235,69.53,30.47,2,0.85,8,3.4,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021116,Boavista dos Pinheiros,Freguesia,CM,1359,911,67.03,32.97,14,1.54,15,1.65,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021117,Longueira/Almograve,Freguesia,CM,1045,581,55.6,44.4,11,1.89,4,0.69,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021119,Santa Clara-a-Velha,Freguesia,CM,540,367,67.96,32.040000000000006,3,0.82,11,3,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021120,São Salvador e Santa Maria,Freguesia,CM,2457,1631,66.38,33.620000000000005,21,1.29,25,1.53,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021121,São Teotónio,Freguesia,CM,4679,2629,56.19,43.81,31,1.18,19,0.72,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021123,Bicos,Freguesia,CM,387,270,69.77,30.230000000000004,2,0.74,1,0.37,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021124,Colos,Freguesia,CM,723,508,70.26,29.739999999999995,7,1.38,6,1.18,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021125,Vale de Santiago,Freguesia,CM,376,281,74.73,25.269999999999996,8,2.85,4,1.42,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021203,Ourique,Freguesia,CM,2381,1833,76.98,23.019999999999996,26,1.42,20,1.09,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021206,Santana da Serra,Freguesia,CM,573,425,74.17,25.83,10,2.35,10,2.35,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021208,Panoias e Conceição,Freguesia,CM,467,370,79.23,20.769999999999996,4,1.08,2,0.54,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021209,Garvão,Freguesia,CM,546,419,76.74,23.260000000000005,3,0.72,5,1.19,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021210,Santa Luzia,Freguesia,CM,262,202,77.1,22.900000000000006,0,0,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021302,Brinches,Freguesia,CM,809,508,62.79,37.21,2,0.39,9,1.77,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021303,Pias,Freguesia,CM,2102,1334,63.46,36.54,22,1.65,11,0.82,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021307,Vila Verde de Ficalho,Freguesia,CM,1119,807,72.12,27.879999999999995,12,1.49,5,0.62,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021308,Serpa (Salvador e Santa Maria),Freguesia,CM,4964,3045,61.34,38.66,29,0.95,25,0.82,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021310,Vale de Vargo,Freguesia,CM,768,515,67.06,32.94,6,1.17,2,0.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021311,Vila Nova de São Bento,Freguesia,CM,2375,1548,65.18,34.81999999999999,17,1.1,15,0.97,NA,NA,NA,Resultados Apurados
