election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,090114,Aguiar da Beira e Coruche,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,609,51.09,5,1,NA,NA
AUT25,2025-10-12,090114,Aguiar da Beira e Coruche,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,534,44.8,4,0,NA,NA
AUT25,2025-10-12,090114,Aguiar da Beira e Coruche,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,6,0.5,0,0,NA,NA
AUT25,2025-10-12,090115,Sequeiros e Gradiz,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,210,55.56,4,1,NA,NA
AUT25,2025-10-12,090115,Sequeiros e Gradiz,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,155,41.01,3,0,NA,NA
AUT25,2025-10-12,090116,Souto de Aguiar da Beira e Valverde,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,170,48.99,4,1,NA,NA
AUT25,2025-10-12,090116,Souto de Aguiar da Beira e Valverde,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,167,48.13,3,0,NA,NA
AUT25,2025-10-12,090203,Almeida,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,331,43.96,4,1,NA,NA
AUT25,2025-10-12,090203,Almeida,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,253,33.6,3,0,NA,NA
AUT25,2025-10-12,090203,Almeida,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,155,20.58,2,0,NA,NA
AUT25,2025-10-12,090207,Castelo Bom,Freguesia,AF,Plenário/Outros,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT25,2025-10-12,090209,Freineda,Freguesia,AF,Resultados Apurados,Mais Freineda, ,GroupCitizen,92,82.88,7,1,NA,NA
AUT25,2025-10-12,090210,Freixo,Freguesia,AF,Resultados Apurados,TUF, ,GroupCitizen,98,79.67,7,1,NA,NA
AUT25,2025-10-12,090213,Malhada Sorda,Freguesia,AF,Resultados Apurados,MSM, ,GroupCitizen,105,76.64,7,1,NA,NA
AUT25,2025-10-12,090219,Nave de Haver,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,145,78.8,7,1,NA,NA
AUT25,2025-10-12,090224,São Pedro de Rio Seco,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,42,38.53,3,1,NA,NA
AUT25,2025-10-12,090224,São Pedro de Rio Seco,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,40,36.7,3,0,NA,NA
AUT25,2025-10-12,090224,São Pedro de Rio Seco,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,24,22.02,1,0,NA,NA
AUT25,2025-10-12,090227,Vale da Mula,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,95,82.61,7,1,NA,NA
AUT25,2025-10-12,090229,Vilar Formoso,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,593,51.3,5,1,NA,NA
AUT25,2025-10-12,090229,Vilar Formoso,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,513,44.38,4,0,NA,NA
AUT25,2025-10-12,090230,"Amoreira, Parada e Cabreira",Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,175,79.91,7,1,NA,NA
AUT25,2025-10-12,090231,"Azinhal, Peva e Valverde",Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,90,55.56,4,1,NA,NA
AUT25,2025-10-12,090231,"Azinhal, Peva e Valverde",Freguesia,AF,Resultados Apurados,PR, ,GroupCitizen,68,41.98,3,0,NA,NA
AUT25,2025-10-12,090232,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,93,48.44,4,1,NA,NA
AUT25,2025-10-12,090232,"Castelo Mendo, Ade, Monteperobolso e Mesquitela",Freguesia,AF,Resultados Apurados,CAMM, ,GroupCitizen,88,45.83,3,0,NA,NA
AUT25,2025-10-12,090233,Junça e Naves,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,112,78.87,7,1,NA,NA
AUT25,2025-10-12,090234,"Leomil, Mido, Senouras e Aldeia Nova",Freguesia,AF,Resultados Apurados,UUF, ,GroupCitizen,85,84.16,7,1,NA,NA
AUT25,2025-10-12,090235,Malpartida e Vale de Coelha,Freguesia,AF,Resultados Apurados,PFDNA, ,GroupCitizen,96,64.86,5,1,NA,NA
AUT25,2025-10-12,090235,Malpartida e Vale de Coelha,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,47,31.76,2,0,NA,NA
AUT25,2025-10-12,090236,Miuzela e Porto de Ovelha,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,116,52.97,4,1,NA,NA
AUT25,2025-10-12,090236,Miuzela e Porto de Ovelha,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,95,43.38,3,0,NA,NA
AUT25,2025-10-12,090302,Baraçal,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,107,65.24,5,1,NA,NA
AUT25,2025-10-12,090302,Baraçal,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,53,32.32,2,0,NA,NA
AUT25,2025-10-12,090304,Carrapichana,Freguesia,AF,Resultados Apurados,CP, ,GroupCitizen,71,51.45,4,1,NA,NA
AUT25,2025-10-12,090304,Carrapichana,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,60,43.48,3,0,NA,NA
AUT25,2025-10-12,090306,Forno Telheiro,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,361,80.4,6,1,NA,NA
