election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,010614,Pedorido,Freguesia,AM,1202,916,76.21,23.790000000000006,16,1.75,17,1.86,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010615,Raiva,Freguesia,AM,1901,1457,76.64,23.36,23,1.58,25,1.72,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010616,Sobrado,Freguesia,AM,2687,2145,79.83,20.17,23,1.07,33,1.54,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010702,Espinho,Freguesia,AM,10007,6287,62.83,37.17,146,2.32,90,1.43,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010704,Paramos,Freguesia,AM,3026,1814,59.95,40.05,62,3.42,34,1.87,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010705,Silvalde,Freguesia,AM,5654,3552,62.82,37.18,91,2.56,75,2.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010707,Anta,Freguesia,AM,9484,5942,62.65,37.35,133,2.24,108,1.82,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010708,Guetim,Freguesia,AM,1176,816,69.39,30.61,35,4.29,14,1.72,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010801,Avanca,Freguesia,AM,5344,3188,59.66,40.34,66,2.07,44,1.38,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010805,Pardilhó,Freguesia,AM,3819,1813,47.47,52.53,32,1.77,29,1.6,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010806,Salreu,Freguesia,AM,3298,1952,59.19,40.81,30,1.54,31,1.59,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010809,Canelas e Fermelã,Freguesia,AM,2509,1567,62.46,37.54,24,1.53,34,2.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010810,Beduído,Freguesia,AM,6913,3744,54.16,45.84,77,2.06,49,1.31,NA,NA,NA,Resultados Apurados
